Producer: 2025/06/25 23:29:36 producer.go:24: 🚀 Starting 10 producer(s) at 2025-06-25 23:29:36
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-10 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-1 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-6 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-5 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-4 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-3 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-7 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-2 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-9 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-8 started
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232937-3858 | Type=image_resize
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232937-9508 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232937-7712 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232937-4493 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232937-1119 | Type=notification
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232937-1517 | Type=image_resize
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232937-2204 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232937-8799 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232937-6635 | Type=image_resize
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232937-7350 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232937-3956 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232937-3471 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232937-5301 | Type=notification
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232937-6313 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232937-0204 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232937-7358 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232937-8674 | Type=notification
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232937-6680 | Type=notification
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232937-8781 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232937-7232 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232937-9340 | Type=image_resize
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232937-2876 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232937-7018 | Type=image_resize
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232937-8874 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232937-4813 | Type=notification
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232937-6713 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232937-9099 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232937-2736 | Type=notification
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232937-9321 | Type=image_resize
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232937-8660 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232937-5205 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232937-8232 | Type=notification
